"조합 이름","편의점","주요 상품","보조 상품(들)","키워드 / 상황","카테고리","원문 URL (출처)"
"말랑구슬라떼 (음료)","공통","구슬 아이스크림 (미니)","캔디라떼 (또는 밀크티), 얼음컵","디저트, 음료, SNS 인증, 달달한, 홈카페, 비주얼 예쁜, 기분 전환, 달달한 위로, 아이스크림 활용, 데이트 기분","간식/디저트","https://www.youtube.com/watch?v=dfSQfXopsRE"
"블루밀키에이드 (음료)","CU","블루 레몬에이드 (파우치)","밀키스 (캔), 얼음컵","음료, 이색음료, SNS 인증, 청량, 홈카페, 색감 예쁜, 상큼하고 부드러운, 톡 쏘는, 여름 음료, 바다 느낌, 파티 음료","간식/디저트","https://www.youtube.com/watch?v=dfSQfXopsRE"
"죠리퐁라떼 (음료)","공통","죠리퐁 (과자)","시리얼라떼 (또는 커피우유), 얼음컵","디저트, 음료, 든든한, 고소한, 당충전, 씹는 맛, 아침 대용, 아이들 간식, 추억의 맛, 든든한 디저트, 커피 대신","간식/디저트","https://www.youtube.com/watch?v=dfSQfXopsRE"
"스크류키스 (음료)","공통","스크류바 (아이스크림)","밀키스 (캔), 복숭아봉봉, 사이다","음료, 이색음료, 술자리 (소주 추가 시), SNS 인증, 달달한 술, 홈파티 칵테일, 간단한 칵테일, 비주얼 예쁜, 아이스크림 활용, 상큼한","술안주/야식","https://www.youtube.com/watch?v=dfSQfXopsRE"
"마크정식 (나무위키)","(설명)","자이언트 떡볶이","컵라면 스파게티, 소시지, 피자 치즈","SNS 인증, 든든한, 아이돌 레시피, 유행, 푸짐하게 먹고 싶을 때, 자취생 특식, 여러 가지 섞어서, 스트레스 받을 때, 여럿이서 함께, 비주얼 좋은","라면/분식 조합","https://namu.wiki/w/%EB%A7%88%ED%81%AC%20%EC%A0%95%EC%8B%9D"
"두부김치","CU","볶음김치 (팩), 두부 (반 모)","참기름 (or 들기름)","술안주 (막걸리), 야식, 간단한, 건강한, 비 오는 날, 든든한 술안주, 다이어트 안주, 아빠 안주, 고소하고 매콤한, 살 덜 찌는 야식","술안주/야식","https://www.10000recipe.com/recipe/6859345"
"골빔면 (골뱅이 비빔면)","공통","팔도 비빔면 (컵), 유동 골뱅이 (캔)","오이, 삶은 계란","술안주 (소주/맥주), 든든한, 매콤새콤, 야식, 출출할 때, 입맛 없을 때, 여름 별미, 아삭한 식감, 간단한 손님 접대용","술안주/야식","https://womansense.co.kr/news/articleView.html?idxno=49607"
"나초 콘치즈","공통","나초 (봉지), 스위트콘 (캔)","마요네즈, 모짜렐라 치즈, 설탕","술안주 (맥주), 야식, 초간단, 단짠단짠, 고소한, 영화 볼 때, 짭짤하고 고소한, 옥수수 톡톡, 5분 완성 안주, 아이들 간식","술안주/야식","https://www.10000recipe.com/recipe/6864149"
"참치 카나페","공통","참치 (캔), 크래커 (아이비/참)","마요네즈, 스위트콘 (캔)","술안주 (와인/맥주), 간단한, 파티, 고급, 핑거푸드, 손님 접대, 비주얼 좋은, 간단한 와인 안주, 10분 완성, 살 덜 찌는 안주","술안주/야식","https://www.10000recipe.com/recipe/6979269"
"만두 그라탕","공통","냉동 만두 (고기/김치)","토마토 스파게티 소스 (파우치), 모짜렐라 치즈","술안주 (맥주), 든든한, 야식, 치즈, 아이들 간식, 출출할 때, 치즈 듬뿍, 밥하기 싫을 때, 간단한 퓨전 요리, 토마토소스 활용","술안주/야식","https://www.10000recipe.com/recipe/6920803"
"먹태 & 청양마요","공통","먹태 (봉지)","마요네즈, 간장, 청양고추 (팩)","술안주 (맥주), 간단한, 마른안주, 매콤고소, 가벼운 안주, 살 덜 찌는 야식, 바삭한, 3분 완성, 유행하는 안주, 어른의 맛, 중독성 있는","술안주/야식","https://www.10000recipe.com/recipe/6990390"
"아포가토","공통","투게더 미니컵 (바닐라)","에스프레소 (캔커피) or 믹스커피 (뜨겁게)","디저트, 당충전, 간단한, 고급, 커피, 식후 디저트, 쌉싸름하고 달콤한, 집에서 카페 느낌, 기분 전환, 손님 접대용 디저트, 5분 완성","간식/디저트","https://www.10000recipe.com/recipe/6905626"
"앙버터 토스트","공통","단팥빵 (or 꿀호떡)","버터 (조각), (크래커)","디저트, 당충전, 고소한, 커피, SNS 인증, 빵순이, 팥과 버터의 조화, 단짠고소, 비주얼 좋은, 오후 간식, 위로되는 맛","간식/디저트","https://www.10000recipe.com/recipe/6920406"
"꿀호떡 아이스크림","공통","삼립 꿀호떡 (봉지)","바닐라 아이스크림 (컵), (시나몬 가루)","디저트, 당충전, 따뜻한, 달달한, 아이들 간식, 기분이 우울할 때, 달달한 위로가 필요할 때, 기분 전환, 생리통 심할 때, 따뜻하고 차가운 조합 (따차), 극강의 달콤함, 행복해지는 맛","간식/디저트","https://www.10000recipe.com/recipe/6974151"
"대만식 샌드위치","공통","식빵, 슬라이스 햄","슬라이스 치즈, 연유, 마요네즈, 계란","든든한, 아침대용, 단짠단짠, 간단, 디저트, 폭신폭신, 부드러운, 아침으로 가볍게, 간단한 점심, 아이들 간식, 홍루이젠 스타일","아침식사","https://www.10000recipe.com/recipe/7027581"
"오레오 쉐이크","공통","오레오 (과자)","우유, 바닐라 아이스크림 (컵)","디저트, 당충전, 달달한, 아이들 간식, 홈카페, 스트레스 받을 때, 기분 꿀꿀할 때, 꾸덕하고 진한, 비주얼 끝판왕, 누구나 아는 맛있는 맛","간식/디저트","https://www.10000recipe.com/recipe/6938920"
"수박바 에이드 (음료)","공통","수박바 (아이스크림)","사이다 (캔), 얼음컵","디저트, 음료, 이색음료, SNS 인증, 여름, 청량, 시원하게, 갈증 해소, 색감 예쁜, 홈파티 음료, 아이스크림 활용, 비주얼 좋은","간식/디저트","https://m.blog.naver.com/eueu01/222384661413"
"메로나주 (음료/술)","공통","메로나 (아이스크림)","소주, 사이다","술자리, 이색 술, 달달한 술, SNS 인증, 술 못 마시는 사람 (알쓰), 홈파티 칵테일, 부드러운 소주, 아이스크림 칵테일, 인싸 술, 여럿이 함께","술안주/야식","https://namu.wiki/w/%EB%A9%94%EB%A1%9C%EB%82%98"
"딸기라떼 (음료)","공통","딸기 (냉동), 딸기우유","우유, 설탕 (or 연유)","디저트, 음료, 당충전, 홈카페, SNS 인증, 봄 느낌, 상큼달달, 비주얼 예쁜, 카페 갈 필요 없는, 집에서 즐기는, 딸기 좋아할 때","간식/디저트","https://www.10000recipe.com/recipe/6975204"
"연두부 티라미수","공통","연두부","믹스커피 (or 에스프레소), 코코아 가루","디저트, 다이어트, 이색조합, 건강, 당충전, 다이어트 디저트, 살 덜 찌는, 죄책감 없는, 부드러운, 고단백, 건강 간식","다이어트/건강","https://www.10000recipe.com/recipe/6968798"
"닭가슴살 샐러드","공통","훈제 닭가슴살 (팩)","샐러드 (팩), 아몬드 브리즈","다이어트, 건강, 점심, 저칼로리, 가벼운, 단백질 보충, 다이어트 식단, 운동 전후, 포만감 있는 샐러드, 건강한 한 끼, 가볍게 먹고 싶을 때","다이어트/건강","https://m.blog.naver.com/PostView.naver?blogId=jjangs00&logNo=222384992984"
"반숙란 연두부","CU","감동란 (반숙란 2알)","연두부 (팩), 오리엔탈 드레싱","다이어트, 아침대용, 간단, 저칼로리, 단백질 보충, 초간단 아침, 건강한 간식, 속 편한, 부드러운, 고단백 저칼로리, 3분 완성","다이어트/건강","https://m.post.naver.com/viewer/postView.naver?volumeNo=32725345&memberNo=3830854"
"곤약 떡볶이","CU","곤약 떡볶이 (컵)","닭가슴살 소시지, 스트링 치즈","다이어트, 매콤, 저칼로리, 야식 (가벼운), 포만감, 다이어트 중 매운 거 당길 때, 죄책감 없는 야식, 쫄깃한 식감, 스트레스 해소 (다이어트용)","다이어트/건강","https://m.blog.naver.com/PostView.naver?blogId=miky0907&logNo=222589574880"
"고구마 라떼","공통","군고구마 (냉장)","우유 (저지방/아몬드브리즈), 꿀","다이어트, 아침대용, 든든한, 건강, 달달한, 따뜻한, 겨울 음료, 든든한 아침, 속 편한, 건강한 달콤함, 카페 음료 대신, 포만감","다이어트/건강","https://www.10000recipe.com/recipe/6863000"
"닭가슴살 또띠아","GS25","닭가슴살 (팩)","또띠아 (냉장), 샐러드 팩, 스리라차 소스","다이어트, 점심, 든든한, 건강, 매콤, 다이어트 식단, 포만감, 서브웨이 스타일, 간단한 점심, 건강한 한 끼, 닭가슴살 질릴 때","다이어트/건강","https://www.10000recipe.com/recipe/6895315"
"두유 시리얼","공통","두유 (무가당)","시리얼 (작은 컵), 바나나","다이어트, 아침대용, 간단, 건강, 비건, 유당불내증, 간단한 아침, 고소한, 비건 식단, 건강한 간식, 5분 완성","다이어트/건강","https://m.blog.naver.com/PostView.naver?blogId=k900329a&logNo=223253738092"
"프로틴 폭탄 세트","공통","프로틴 음료 (RTD)","프로틴바 (단백질바)","다이어트, 운동 후, 단백질 보충, 간단, 헬창, 근손실 방지, 운동 끝나고 바로, 초간단 단백질, 식사 대용 (간편)","다이어트/건강","https://m.post.naver.com/viewer/postView.naver?volumeNo=32725345&memberNo=3830854"
"두부면 파스타","공통","두부면 (팩)","토마토 소스 (파우치), 닭가슴살","다이어트, 저탄수, 든든한, 점심, 이색조합, 면 요리 먹고 싶을 때 (다이어트), 밀가루 끊기, 건강한 파스타, 고단백 저탄수, 포만감","다이어트/건강","https://www.10000recipe.com/recipe/6990494"
"곤약 비빔국수","공통","곤약면 (컵)","비빔면 소스 (or 팔도비빔장), 오이, 삶은 계란","다이어트, 저칼로리, 야식, 매콤새콤, 여름, 죄책감 없는 야식, 비빔면 먹고 싶을 때, 입맛 없을 때, 시원하게, 가벼운 한 끼","다이어트/건강","https://www.10000recipe.com/recipe/6890333"
"그릭요거트 볼","GS25","그릭 요거트","그래놀라 (작은 봉지), 꿀, 냉동 블루베리","다이어트, 아침대용, 건강, 간단, SNS 인증, 꾸덕한, 비주얼 좋은, 건강한 디저트, 변비 예방, 포만감, 아침 루틴","다이어트/건강","https://m.blog.naver.com/PostView.naver?blogId=gpdnjs245&logNo=223249117621"
"건강 비빔밥","공통","즉석밥 (현미밥/곤약밥)","샐러드 팩, 반숙란, 고추장 (저염)","다이어트, 건강, 든든한, 점심, 포만감, 야채 섭취, 건강한 한 끼, 밥심 필요할 때 (다이어트), 가볍지만 든든하게, 이것저것 섞어서","다이어트/건강","https://m.blog.naver.com/PostView.naver?blogId=khr3691&logNo=222543936082"
"아몬드 브리즈 오트밀","공통","아몬드 브리즈 (언스위트)","오트밀 (컵), 바나나, 견과류","다이어트, 아침대용, 비건, 든든한, 건강, 초간단 아침, 유당불내증, 포만감, 따뜻한 아침, 건강한 탄수화물, 고소한","다이어트/건강","https://www.10000recipe.com/recipe/6979607"
"콤부차 에이드 (음료)","공통","콤부차 (스틱 또는 병)","얼음컵, 탄산수 (플레인)","다이어트, 음료, 저칼로리, 건강, 청량, 탄산음료 대신, 소화 잘되는, 상큼한, 갈증 해소, 건강한 습관, 입가심","다이어트/건강","https://m.blog.naver.com/PostView.naver?blogId=k_food_fair&logNo=222851480064"
"제로 칼로리 세트","공통","제로 콜라 (캔)","곤약 젤리 (파우치)","다이어트, 저칼로리, 입가심, 간식, 당충전 (대체), 죄책감 없는, 단 게 당길 때 (다이어트), 야식 대신, 입 심심할 때, 칼로리 제로","다이어트/건강","https://m.post.naver.com/viewer/postView.naver?volumeNo=32725345&memberNo=3830854"
"단백질 쉐이크","공통","단백질 쉐이크 (RTD)","바나나, (두유)","다이어트, 운동 후, 든든한, 단백질 보충, 아침대용, 헬스, 근손실 방지, 초간단 식사, 식사 대용, 바쁠 때, 포만감","다이어트/건강","https://m.blog.naver.com/PostView.naver?blogId=songmink41&logNo=222699238379"
"에그마요 샌드위치","공통","샌드위치 (에그마요)","아메리카노 (얼음컵)","아침대용, 초간단, 가성비, 직장인, 학생, 기본에 충실한, 부드러운, 든든한 아침, 간단한 점심, 커피랑 같이, 호불호 없는 맛","아침식사","https://m.blog.naver.com/PostView.naver?blogId=khr3691&logNo=222543936082"
"삼김 + 바나나우유","공통","삼각김밥 (참치마요)","바나나맛 우유","아침대용, 초간단, 가성비, 학생, 든든한 (간편), 국룰 조합, 실패 없는, 간단하게 배 채우기, 바쁜 아침, 5분컷, 추억의 맛","아침식사","https://m.blog.naver.com/PostView.naver?blogId=khr3691&logNo=222543936082"
"컵스프 & 모닝빵","공통","컵 스프 (양송이/콘)","모닝빵 (봉지)","아침대용, 초간단, 따뜻한, 부드러운, 추운 날, 속 편한 아침, 겨울 아침, 아플 때, 입맛 없을 때, 따뜻하게 몸 녹일 때, 든든함","아침식사","https://www.10000recipe.com/recipe/6908056"
"미숫가루 라떼","공통","미숫가루 (분말 컵)","우유, 얼음컵","아침대용, 초간단, 든든한, 고소한, 다이어트 (대용), 식사 대용 쉐이크, 포만감, 건강 음료, 할매 입맛, 든든한 음료, 고소하고 달달한","아침식사","https://www.10000recipe.com/recipe/6980687"
"삶은 계란 + 두유","공통","감동란 (반숙란 2알)","두유 (팩)","아침대용, 초간단, 다이어트, 단백질 보충, 건강, 헬스, 운동 전후, 건강한 아침 식단, 포만감, 든든한 간식, 고단백","아침식사","https://m.post.naver.com/viewer/postView.naver?volumeNo=32725345&memberNo=3830854"
"핫바 + 주스","공통","핫바 (의성마늘 등)","야채 주스 (병/팩)","아침대용, 초간단, 간단, 든든한 (육류), 활력, 바쁜 아침, 빠르게 에너지 보충, 든든하게 고기, 상큼하게 마무리, 아침부터 고기","아침식사","https://m.blog.naver.com/PostView.naver?blogId=khr3691&logNo=222543936082"
"에너지바 + 커피","공통","에너지바 (or 프로틴바)","아메리카노 (캔/컵)","아침대용, 초간단, 활력, 직장인, 다이어트 (간편), 바쁜 직장인 아침, 잠 깨고 싶을 때, 간단하게 에너지 업, 회의 전, 시험 기간","아침식사","https://m.post.naver.com/viewer/postView.naver?volumeNo=32725345&memberNo=3830854"
"바나나 + 요거트","공통","바나나 (1개)","그릭 요거트 (or 플레인)","아침대용, 초간단, 건강, 다이어트, 가벼운, 변비 예방, 건강한 아침 루틴, 속 편한, 상큼하게 시작, 다이어트 식단","아침식사","https://m.blog.naver.com/PostView.naver?blogId=jjangs00&logNo=222384992984"
"즉석 죽 + 반숙란","공통","즉석 죽 (파우치/컵)","감동란 (반숙란)","아침대용, 초간단, 든든한, 아플 때, 부드러운, 속 편한, 입맛 없을 때, 따뜻한 아침, 소화 잘되는, 단백질 보충, 환자식","아침식사","https://m.blog.naver.com/PostView.naver?blogId=khr3691&logNo=222543936082"
"시리얼 + 우유","CU","시리얼 (작은 컵)","우유 (작은 팩)","아침대용, 초간단, 간단, 아이들, 달달한, 국룰 조합, 5분컷, 바삭한, 호불호 없는 아침, 간단한 간식","아침식사","https://m.blog.naver.com/PostView.naver?blogId=khr3691&logNo=222543936082"
"프렌치토스트 (간편)","공통","식빵, 계란 (2알)","우유, 설탕, (버터)","아침대용, 든든한, 달달한, 아이들 간식, 자취생, 주말 아침, 브런치 느낌, 촉촉하고 부드러운, 기분 좋은 아침, 빵순이","아침식사","https://www.10000recipe.com/recipe/6842790"
"카스테라 + 우유","공통","카스테라 (빵)","흰 우유","아침대용, 초간단, 부드러운, 달달한, 아이들 간식, 입맛 없을 때, 부드럽게 넘어가는, 추억의 맛, 든든한 간식, 커피랑도 좋음","아침식사","https://www.10000recipe.com/recipe/6910629"
"햄치즈 토스트","공통","식빵","슬라이스 햄, 슬라이스 치즈","아침대용, 초간단, 든든한, 단짠단짠, 자취생, 기본 토스트, 실패 없는, 따뜻하게 데워서, 짭짤하고 고소한, 누구나 아는 맛","아침식사","https://www.10000recipe.com/recipe/6938928"
"길거리 토스트 (간편)","공통","식빵, 계란","양배추 (샐러드 팩), 케첩, 설탕","아침대용, 든든한, 추억, 자취생, 가성비, 추억의 맛, 아삭한 양배추, 단짠단짠, 든든한 아침, 주말 브런치, 설탕 케첩","아침식사","https://www.10000recipe.com/recipe/6900412"
"소시지빵 (간편)","공통","모닝빵 (봉지)","비엔나 소시지, 케첩, 모짜렐라 치즈","아침대용, 간단, 아이들 간식, 자취생, 든든한, 피자빵 느낌, 출출할 때 간식, 짭짤한, 든든한 빵, 전자레인지 1분","아침식사","https://www.10000recipe.com/recipe/6889709"
"짜파구리 (영화)","공통","짜파게티 (컵)","너구리 (컵), (소고기 팩)","SNS 인증, 이색조합, 든든한, 영화 기생충, 매콤, 비 오는 날, 주말 점심, 든든한 특식, 짜장과 매콤한 국물의 조화, 영화 볼 때, 묘하게 중독적인","이색조합/SNS","https://www.10000recipe.com/recipe/6924040"
"사리곰탕 크림 파스타","CU","사리곰탕 (봉지)","우유, 슬라이스 치즈, 베이컨","이색조합, 고소한, 꾸덕, 맵찔이, SNS 인증, 고급스러운, 크림 파스타 먹고 싶을 때, 맵지 않고 든든한, 실패 없는 조합, 자취생 요리, 비주얼 좋은","이색조합/SNS","https://m.blog.naver.com/PostView.naver?blogId=khr3691&logNo=222543936082"
"토마토 라면 (라해장)","공통","신라면 (봉지)","토마토 주스 (물 대신), 계란","이색조합, 해장, 얼큰한, 국물, SNS 인증, 고급진 해장, 술 마신 다음 날, 퓨전 요리, 속 풀리는, 토마토의 감칠맛, 색다른 라면","이색조합/SNS","https://www.10000recipe.com/recipe/6841209"
"꿀떡버거 (이영자)","공통","꿀호떡 (봉지)","찰떡 아이스 (떡만)","이색조합, 디저트, 달달한, SNS 인증, 방송 추천, 극강의 달콤함, 기분 꿀꿀할 때, 스트레스 받을 때, 쫀득하고 달달한, 떡순이, 이영자 맛집","이색조합/SNS","https://m.blog.naver.com/PostView.naver?blogId=jjangs00&logNo=222384992984"
"약과 아이스크림","GS25","(약과), 바닐라 아이스크림","(꿀 또는 흑당시럽)","이색조합, 디저트, 할매 입맛, SNS 인증, 달달한, K-디저트, 꾸덕하고 달달한, 어른들 간식, 전통 간식, 커피랑 같이, 유행하는 디저트","이색조합/SNS","https://www.10000recipe.com/recipe/7010537"
"수박바 에이드","공통","수박바 (아이스크림)","사이다 (캔), 얼음컵","이색음료, SNS 인증, 여름, 청량, 홈카페, 비주얼, 시원한, 갈증 해소, 색감 예쁜, 홈파티 음료, 아이스크림 활용, 기분 전환","이색조합/SNS","https://m.blog.naver.com/eueu01/222384661413"
"구름 라떼 (솜사탕)","공통","솜사탕 (봉지)","아메리카노 (얼음컵), 우유","이색음료, SNS 인증, 비주얼, 달달한, 홈카페, 비주얼 끝판왕, 기분 내고 싶을 때, 달달한 위로, 카페 음료, 솜사탕 녹여 먹기","이색조합/SNS","https://m.blog.naver.com/PostView.naver?blogId=khr3691&logNo=222543936082"
"(비)냉동치킨","공통","냉동치킨 (팩)","비빔면 (컵), (오이)","이색조합, 든든한, 매콤새콤, 야식, 비빔면과 치킨, 입맛 없을 때, 든든한 야식, 차가운 면과 따뜻한 고기, 단백질 보충","이색조합/SNS","https://www.10000recipe.com/recipe/6990566"
"쌍화탕 닭죽","공통","쌍화탕 (병)","즉석밥, 닭가슴살","이색조합, 든든한, 건강, 아플 때, 보양식, 감기 기운, 몸보신, 기력 없을 때, 쓴맛과 단맛, 어른의 맛, 뜨끈하게 한 그릇, 초간단 닭죽","이색조합/SNS","https://www.10000recipe.com/recipe/6864147"
"불닭 마요네즈","공통","불닭볶음면 (컵)","마요네즈, 삼각김밥 (참치마요)","이색조합, 매운맛 중화, 고소한, 맵단짠, 든든한, 맵찔이 도전, 부드럽게 매운맛, 고소함 폭발, 자극적인데 계속 당기는, 삼각김밥 곁들여","이색조합/SNS","https://www.10000recipe.com/recipe/6979685"
"크림 진짬뽕","공통","진짬뽕 (컵)","우유 (or 생크림), 슬라이스 치즈","이색조합, 매운맛 중화, 꾸덕, 고소한, SNS 인증, 짬뽕 로제 파스타, 부드러운 불맛, 해장 (부드럽게), 퓨전 짬뽕, 맵찔이 추천","이색조합/SNS","https://www.10000recipe.com/recipe/6948560"
"맥콜 찜닭","공통","맥콜 (음료)","닭강정 (or 순살치킨), (감자칩)","이색조합, 단짠단짠, 든든한, 자취생, 초간단 찜닭, 콜라 찜닭 대신, 밥반찬, 든든한 한 끼, 닭강정 활용, 신기한 맛","이색조합/SNS","https://m.blog.naver.com/PostView.naver?blogId=khr3691&logNo=222543936082"
"초코파이 티라미수","공통","초코파이 (or 오예스)","(크림치즈), 코코아 가루, 커피","이색조합, 디저트, 초간단, SNS 인증, 당충전, 5분 완성 디저트, 고급진 변신, 커피랑 같이, 달달한 위로, 기분 꿀꿀할 때, 스트레스","이색조합/SNS","https://www.10000recipe.com/recipe/6949354"
"붕어싸만코 토스트","공통","붕어싸만코 (아이스크림)","식빵, (시나몬 가루)","이색조합, 디저트, 달달한, SNS 인증, 겉바속촉, 따뜻하고 차가운, 단팥과 아이스크림, 붕어빵 대신, 겨울 간식, 달달함 끝판왕","이색조합/SNS","https://m.blog.naver.com/PostView.naver?blogId=jjangs00&logNo=222384992984"
"오감자 + 꿀","공통","오감자 (과자)","꿀 (튜브)","이색조합, 단짠단짠, 간식, 초간단, 허니버터칩 맛, 맥주 안주, 입 심심할 때, 중독성 있는, 3분 완성 간식, 단짠의 정석","이색조합/SNS","https://m.post.naver.com/viewer/postView.naver?volumeNo=32725345&memberNo=3830854"
"신라면 투움바","공통","신라면 (봉지)","우유, 슬라이스 치즈, 칵테일 새우, 양파","이색조합, 든든한, 꾸덕, 고소한, 매운맛 중화, SNS 인증, 고급 레스토랑 맛, 자취생 파스타, 맵찔이 추천, 부드러운 매운맛, 퓨전 요리, 우유 활용","라면/분식 조합","https://www.10000recipe.com/recipe/6859310"
"틈새라면 콩나물국밥","공통","틈새라면 (컵/봉지)","콩나물 (팩), 즉석밥, 날계란","해장, 얼큰한, 든든한, 국밥, 시원한, 술 마신 다음 날, 극강의 해장, 아삭한 식감, 밥 말아 먹기 좋은, 얼큰하게 땀 빼기, 스트레스","라면/분식 조합","https://www.10000recipe.com/recipe/6920958"
"비빔면 + 삼겹살","공통","팔도 비빔면 (봉지)","대패 삼겹살 (팩)","든든한 한 끼, 야식, 고기, 맵단짠, 기본 조합, 국룰 조합, 실패 없는, 육쌈냉면 스타일, 든든하게 고기, 입맛 없을 때, 매콤새콤고소","라면/분식 조합","https://www.10000recipe.com/recipe/6873919"
"김치 사발면 + 참치","공통","김치 사발면 (컵)","참치 (캔), (삼각김밥)","든든한, 간단, 야식, 자취생, 기본 조합, 출출할 때, 간단하게 배 채우기, 꿀조합, 참치의 고소함, 밥 말아 먹기 좋은, PC방 야식","라면/분식 조합","https://m.blog.naver.com/PostView.naver?blogId=khr3691&logNo=222543936082"
"안성굴탕면 (굴국밥)","공통","안성탕면 (봉지)","굴 (냉동/캔), 날계란, 대파","해장, 이색조합, 든든한, 국물, 시원한, 보양식, 겨울철 별미, 어른의 맛, 시원한 국물, 기력 없을 때, 초간단 굴국밥, 몸보신","라면/분식 조합","https://www.10000recipe.com/recipe/6902269"
"까르보 불닭 + 떡","공통","까르보 불닭볶음면 (컵)","떡볶이 떡 (or 떡볶이 컵), 비엔나 소시지","든든한, 매운맛 중화, 꾸덕, 맵단짠, 치즈, 까르보나라 떡볶이, 맵찔이 추천, 부드러운 매운맛, 쫄깃한 식감, 푸짐한, 아이들 간식","라면/분식 조합","https://www.10000recipe.com/recipe/6938923"
"진라면 순두부찌개","공통","진라면 (매운맛/봉지)","순두부 (팩), 날계란, 고춧가루","해장, 든든한, 얼큰한, 국물, 자취생, 순두부찌개 맛, 밥 말아 먹기 좋은, 얼큰한 국물, 초간단 찌개, 술 마신 다음 날, 속 편한","라면/분식 조합","https://www.10000recipe.com/recipe/6966114"
"너구리 + 어묵탕","공통","너구리 (봉지)","어묵바 (or 모듬 어묵), 쑥갓","든든한, 해장, 국물, 시원한, 술안주, 추운 날, 어묵 우동, 포장마차 느낌, 뜨끈한, 깊은 국물 맛, 쫄깃한 면발, 든든한 야식","라면/분식 조합","https://www.10000recipe.com/recipe/6901842"
