조합 이름,편의점,주요 상품,보조 상품(들),키워드 / 상황,카테고리,원문 URL (출처)
불금 치맥,GS25,순살 치킨,"맥주 (4캔), 양념 소스","불금, 치맥, 퇴근, 자유, 해방, 주말 시작, 행복, 스트레스 해소",술안주/야식,[AI 생성]
나만의 힐링 타임,세븐일레븐,따뜻한 아메리카노,"마카롱, 책","휴식, 혼자, 조용함, 여유, 힐링, 따뜻함, 생각 정리, 나를 위한 시간",음료/디저트,[AI 생성]
입맛 없을 때,공통,비빔면,"삼각김밥 (전주비빔), 계란","입맛 없음, 매콤함, 새콤함, 간단함, 쓱싹, 여름, 더위, 간편한 식사",라면/분식 조합,[AI 생성]
혼자 떠나는 여행,CU,김밥,"물, 견과류바","혼행, 자유, 설렘, 즉흥, 간편, 든든, 풍경 감상, 나만의 시간",간편 식사,[AI 생성]
추억의 맛,GS25,옛날 과자 (꾀돌이),"우유, 사탕","추억, 어릴 적, 향수, 달콤, 아련함, 회상, 그때 그 시절, 시간 여행",간식,[AI 생성]
출근길 든든함,세븐일레븐,모닝빵,"커피, 잼","출근, 바쁨, 간단, 든든, 빠른 식사, 에너지, 워킹, 굿모닝",간편 식사,[AI 생성]
달콤한 휴식,공통,아이스크림 (월드콘),"탄산수, 초콜릿","휴식, 달콤, 시원, 행복, 당 충전, 더위 탈출, 잠깐의 여유, 꿀맛",디저트,[AI 생성]
이열치열 매운맛,CU,불닭볶음면,"쿨피스, 아이스크림","더위, 매운맛, 이열치열, 땀, 스트레스 해소, 극강의 맛, 도전, 화끈",라면/분식 조합,[AI 생성]
간단한 저녁 식사,GS25,참치마요 삼각김밥,"컵국 (미역국), 김치","저녁, 간단, 혼밥, 귀찮음, 든든, 빠른 식사, 가성비, 한 끼 해결",간편 식사,[AI 생성]
피크닉 필수템,세븐일레븐,샌드위치,"과일 주스, 돗자리","피크닉, 날씨 좋음, 야외, 데이트, 즐거움, 행복, 힐링, 자연",간편 식사,[AI 생성]
밤도깨비 야시장,공통,닭꼬치,"맥주, 핫바","밤, 야식, 서울, 나들이, 즐거움, 맛, 밤공기, 친구",술안주/야식,[AI 생성]
스트레스 해소 펀치,CU,매운 떡볶이,"쿨피스, 치즈","스트레스, 매운맛, 땀, 화끈, 해소, 통쾌, 짜증, 날려버려",라면/분식 조합,[AI 생성]
영화관 부럽지 않아,GS25,팝콘,"콜라, 오징어","영화, 집, 편안함, 간식, 즐거움, 주말, 혼영, 넷플릭스",간식,[AI 생성]
여행의 동반자,세븐일레븐,견과류,"물, 육포","여행, 차 안, 심심함, 간편, 든든, 에너지, 즐거움, 드라이브",간식,[AI 생성]
우울할 땐 당 충전,공통,초콜릿,"아메리카노, 마카롱","우울, 기분 전환, 달콤, 행복, 위로, 당 충전, 힐링, 나를 위한 선물",디저트,[AI 생성]
늦은 밤 게임 친구,CU,에너지 드링크,"라면, 과자","게임, 밤샘, 에너지, 집중, 멈출 수 없어, 폐인 모드, 밤샘 각, 승리",음료/간편식사,[AI 생성]
미세먼지 OUT,GS25,물,"배 도라지차, 마스크","미세먼지, 목 건강, 답답함, 청량함, 깔끔, 건강, 필수템, 깨끗",음료/건강,[AI 생성]
인싸 간식 도전,세븐일레븐,흑당 버블티,"마카롱, 쿠키","인싸, 트렌드, 달콤, 궁금, 인증샷, 맛있음, 독특함, 버블",음료/디저트,[AI 생성]
알바생의 야식,공통,라면,"삼각김밥, 음료수","알바, 밤, 허기, 에너지, 간편, 빠름, 든든, 힘내자",라면/간편식사,[AI 생성]
극강의 느끼함,CU,까르보 불닭볶음면,"체다 치즈, 마요네즈","느끼, 고소, 매콤, 멈출 수 없어, 중독, 칼로리 폭탄, 맛있으면 0칼로리, 꿀꿀",라면/분식 조합,[AI 생성]
혼술의 정석,GS25,수입 맥주,"나쵸, 살사 소스","혼술, 주말, 편안함, 자유, 넷플릭스, 영화 감상, 스트레스 해소, 힐링",술안주/야식,[AI 생성]
공허한 밤,세븐일레븐,아이스크림,"핫초코, 쿠키","공허, 외로움, 달콤함, 위로, 눈물, 센치, 밤, 우울",디저트,[AI 생성]
월요병 퇴치,공통,커피,"도넛, 에너지바","월요병, 출근, 피곤, 졸림, 극복, 활력, 힘내자, 카페인",음료/간식,[AI 생성]
새벽 감성 폭발,CU,컵라면,"김치, 삼각김밥","새벽, 감성, 배고픔, 야식, 라면, 혼자, 센치, 갬성",라면/간편식사,[AI 생성]
심플 이즈 베스트,GS25,물,"삶은 계란, 견과류","다이어트, 건강, 운동, 간단, 클린, 상쾌, 가벼움, 유지어터",간편 식사,[AI 생성]
크리스마스 분위기,세븐일레븐,케이크,"와인, 초","크리스마스, 연말, 분위기, 행복, 사랑, 축제, 파티, 따뜻함",디저트,[AI 생성]
입 안에서 펼쳐지는 우주,공통,별사탕,"사이다, 아이셔 껌","기분전환, 정신 번쩍, 달콤함, 청량함, 반짝반짝, 유치함, 동심, 우주여행",음료/간식,[AI 생성]
혼술 스테미나 UP 세트,GS25,매운 닭발,"에너지 드링크, 삶은 계란, 숙취해소제","혼술, 야근, 스트레스, 매운맛, 기력 없을 때, 다음날 출근, 혼자 불태우는 밤, 자취방",술안주/야식,[AI 증강]
영화관 부럽지 않은 집콕 세트,세븐일레븐,팝콘,"나쵸, 탄산 음료, 핫도그","주말, 집콕, 영화, 드라마, 넷플릭스, 편안함, 간식, 뒹굴뒹굴",간식/디저트,[AI 증강]
비 오는 날 파전 대신 세트,CU,김치전,"막걸리, 두부김치, 깻잎","비 오는 날, 센치, 파전, 막걸리, 집에서, 빗소리, 꿀꿀한 날씨, 전땡기는날",술안주/야식,[AI 증강]
초간단 캠핑 감성 세트,공통,숯불 닭꼬치,"마시멜로우, 나무젓가락, 부탄가스","캠핑, 불멍, 감성, 간단, 저녁, 여행, 바베큐, 친구",간식/디저트,[AI 증강]
월요병 극복 달콤 세트,GS25,모찌롤,"아메리카노, 초콜릿, 비타민","월요병, 우울, 달콤, 커피, 힘내, 회사, 극복, 당충전",간식/디저트,[AI 증강]
매운맛 마니아 도전 세트,세븐일레븐,불마왕볶음면,"쿨피스, 삼각김밥, 참치마요","매운맛, 도전, 극한, 스트레스, 땀, 눈물, 화끈, 챌린지",라면/분식 조합,[AI 증강]
나만의 작은 사치 세트,CU,수입 맥주 (4캔),"육포, 견과류, 치즈","혼술, 주말, 여유, 사치, 행복, 맥주, 안주, 나를 위한 선물",술안주/야식,[AI 증강]
밤샘 공부 각성 세트,공통,에너지 드링크,"커피, 졸음방지 껌, 초콜릿","시험, 밤샘, 공부, 각성, 집중, 졸음, 대학생, 카페인",기타,[AI 증강]
출근길 든든 아침 세트,GS25,삼각김밥,"바나나 우유, 삶은 계란, 요거트","아침, 출근, 든든, 간단, 바쁜 아침, 에너지, 직장인, 식사",간편식사,[AI 증강]
퇴근 후 힐링 맥주 세트,세븐일레븐,수제 맥주,"감자칩, 땅콩, 오징어","퇴근, 힐링, 맥주, 혼술, 스트레스 해소, 편안함, 나만의 시간, 휴식",술안주/야식,[AI 증강]
눈 오는 날 따뜻한 어묵 세트,CU,어묵,"핫팩, 붕어빵, 호빵","눈, 겨울, 따뜻, 어묵, 추위, 감성, 길거리, 포근",간식/디저트,[AI 증강]
이열치열 땀뻘뻘 세트,공통,열라면,"이온 음료, 아이스크림, 얼음 물","여름, 더위, 매운맛, 땀, 이열치열, 극복, 시원함, 청량",라면/분식 조합,[AI 증강]
입맛 없을 때 매콤 세트,GS25,비빔면,"만두, 김치, 열무김치","입맛 없음, 매콤, 새콤, 여름, 더위, 식욕, 잃어버린 입맛, 자극",라면/분식 조합,[AI 증강]
달콤한 휴식 충전 세트,세븐일레븐,마카롱,"따뜻한 우유, 쿠키, 초콜릿","휴식, 달콤, 충전, 에너지, 피로, 당, 위로, 나른함",간식/디저트,[AI 증강]
혼자 떠나는 즉흥 여행 세트,CU,참치 김밥,"물, 견과류, 초콜릿바","여행, 즉흥, 혼자, 자유, 설렘, 간편, 이동, 풍경",간편식사,[AI 증강]
월급날 기념 호사 세트,공통,스테이크 도시락,"와인, 고급 치즈, 탄산수","월급날, 기념, 호사, 행복, 사치, 축하, 보상, 근사함",간편식사,[AI 증강]
비오는 날 갬성 라면 세트,GS25,진짬뽕,"계란, 김치, 나무젓가락","비, 갬성, 라면, 따뜻함, 촉촉, 분위기, 혼밥, 빗소리",라면/분식 조합,[AI 증강]
입 안 가득 행복 도넛 세트,세븐일레븐,도넛,"커피, 우유, 아이스크림","행복, 달콤, 간식, 디저트, 커피, 아이들, 선물, 기분 전환",간식/디저트,[AI 증강]
늦은 밤 야식 치킨 세트,CU,조각 치킨,"맥주, 콜라, 양념 소스","야식, 치킨, 밤, 유혹, 칼로리, 포만감, 꿀맛, 행복",술안주/야식,[AI 증강]
피곤한 날 에너지 충전 세트,공통,핫식스,"초콜릿, 비타민, 견과류","피곤, 에너지, 충전, 활력, 아침, 점심, 오후, 졸음",기타,[AI 증강]
새벽 감성 폭발 라면 세트,GS25,틈새라면,"김밥, 치즈, 단무지","새벽, 감성, 라면, 야식, 매운맛, 눈물, 후회, 고독",라면/분식 조합,[AI 증강]
상큼 터지는 기분 전환 세트,세븐일레븐,탄산수,"레몬 슬라이스, 자몽 주스, 젤리","상큼, 기분 전환, 리프레시, 여름, 더위, 청량함, 활력, 에너지",기타,[AI 증강]
친구와 함께 즐거운 파티 세트,CU,피자,"맥주, 과자, 팝콘","파티, 친구, 즐거움, 웃음, 행복, 주말, 저녁, 게임",술안주/야식,[AI 증강]
혼자만의 조용한 독서 세트,공통,따뜻한 차,"쿠키, 책, 담요","독서, 조용, 휴식, 여유, 혼자, 감성, 따뜻함, 평화",기타,[AI 증강]
매콤달콤 환상 궁합 세트,GS25,떡볶이,"쿨피스, 김말이, 튀김","매콤, 달콤, 떡볶이, 환상, 궁합, 분식, 간식, 행복",라면/분식 조합,[AI 증강]
아이스크림 덕후 행복 세트,세븐일레븐,아이스크림,"과자, 초콜릿, 사탕","아이스크림, 달콤, 시원, 행복, 여름, 더위, 간식, 디저트",간식/디저트,[AI 증강]
든든한 한 끼 식사 세트,CU,도시락,"김치, 물, 컵라면","식사, 든든, 한 끼, 점심, 저녁, 간편, 혼밥, 직장인",간편식사,[AI 증강]
나른한 오후 달콤한 유혹 세트,공통,커피,"케이크, 도넛, 마카롱","나른, 오후, 달콤, 유혹, 커피, 디저트, 간식, 행복",간식/디저트,[AI 증강]
비 오는 날 따뜻한 국물 세트,GS25,오뎅,"김치, 단무지, 떡볶이","비, 따뜻, 국물, 오뎅, 빗소리, 촉촉, 감성, 위로",라면/분식 조합,[AI 증강]
간단한 혼술 안주 세트,세븐일레븐,쥐포,"맥주, 땅콩, 김","혼술, 간단, 안주, 맥주, 밤, 여유, 휴식, 혼자",술안주/야식,[AI 증강]
운동 후 단백질 보충 세트,CU,닭가슴살,"프로틴 음료, 견과류, 바나나","운동, 단백질, 보충, 건강, 다이어트, 활력, 에너지, 몸매",기타,[AI 증강]
시험 끝난 해방감 만끽 세트,공통,아이스크림 케이크,"탄산 음료, 과자, 젤리","시험, 해방, 자유, 행복, 달콤, 파티, 친구, 스트레스 해소",간식/디저트,[AI 증강]
출출한 밤 매콤한 유혹 세트,GS25,불닭볶음면,"치즈, 계란, 삼각김밥","출출, 밤, 매콤, 유혹, 야식, 라면, 스트레스 해소, 잠 안 올 때",라면/분식 조합,[AI 증강]
상쾌한 아침 시작 세트,세븐일레븐,샌드위치,"주스, 요거트, 과일","상쾌, 아침, 시작, 활력, 건강, 든든, 간편, 출근",간편식사,[AI 증강]
우울한 날 위로 세트,CU,초콜릿,"아이스크림, 쿠키, 따뜻한 우유","우울, 위로, 달콤, 행복, 눈물, 슬픔, 토닥토닥, 위안",간식/디저트,[AI 증강]
캠핑 파이어 매콤한 밤 세트,공통,소시지,"라면, 김치, 마시멜로우","캠핑, 밤, 불, 매콤, 라면, 감성, 친구, 추억",간편식사,[AI 증강]
혼자 먹는 고급 디저트 세트,GS25,프리미엄 케이크,"홍차, 마카롱, 고급 초콜릿","혼자, 고급, 디저트, 사치, 행복, 여유, 선물, 만족",간식/디저트,[AI 증강]
영화 보면서 냠냠 세트,세븐일레븐,팝콘,"콜라, 나쵸, 오징어","영화, 냠냠, 간식, 주말, 휴식, 즐거움, 편안함, 행복",간식/디저트,[AI 증강]
여름 밤 시원한 맥주 세트,CU,수입 맥주,"과자, 육포, 치즈","여름, 밤, 시원, 맥주, 더위, 휴식, 친구, 해변",술안주/야식,[AI 증강]
비오는 날 꿀꿀한 기분 달래기 세트,공통,초코케이크,"핫초코, 쿠키, 아이스크림","비, 우울, 달콤, 위로, 꿀꿀, 기분 전환, 행복, 간식",간식/디저트,[AI 증강]
매운맛으로 스트레스 날려버려 세트,GS25,불닭볶음면,"쿨피스, 삼각김밥, 계란찜","스트레스, 매운맛, 화끈, 눈물, 땀, 해소, 짜릿함, 극복",라면/분식 조합,[AI 증강]
나만의 작은 영화관 세트,세븐일레븐,팝콘,"콜라, 핫도그, 나쵸","영화, 주말, 집, 휴식, 간식, 즐거움, 편안함, 혼자",간식/디저트,[AI 증강]
심야의 괴식 도전 세트,CU,바밤바,"불닭볶음면, 참치마요 삼각김밥","심야, 괴식, 도전, 의외의 조합, 극한의 맛, 호기심, 밤, 후회",기타,[AI 증강]
든든한 아침 괴식 세트,공통,짜장라면,"딸기 우유, 소시지, 김치","아침, 괴식, 든든, 도전, 엽기, 호기심, 새로운 맛, 에너지",라면/분식 조합,[AI 증강]
고급 괴식 디저트 세트,GS25,아이스 아메리카노,"단팥빵, 김치 사발면","괴식, 디저트, 고급, 이상한 조합, 새로운 시도, 커피, 도전, 호기심",간식/디저트,[AI 증강]
월급날 FLEX 세트,공통,수입 맥주 (4캔),"육포, 나쵸, 수입 과자","월급날, 보상 심리, 스트레스 해소, 퇴근 후, 혼술, 넷플릭스, 소소한 행복, 통장 잔고",술안주/야식,[AI 증강]
비 오는 날 파전 세트,GS25,오징어 해물 파전 (냉동),"막걸리, 김치, 젓가락","비 오는 날, 파전, 막걸리, 집콕, 넷플릭스, 한국 드라마, 꿀꿀한 날씨, 촉촉한 낭만",냉동/간편식,[AI 증강]
야근 각성 세트,세븐일레븐,에너지 드링크,"핫식스, 커피 (믹스), 초콜릿","야근, 졸림, 집중력 향상, 카페인 충전, 피로, 당 충전, 회사, 상사, 마감 임박",음료/간식,[AI 증강]
혼자 캠핑 감성 세트,CU,숯불 닭꼬치,"소시지, 햇반, 김치, 물","혼자 캠핑, 미니 화로, 감성, 밤, 별, 고독, 힐링, 자연, 불멍",간편식/즉석조리,[AI 증강]
숙취 해소 끝판왕 세트,공통,헛개차,"해장라면, 이온 음료, 계란","숙취, 해장, 다음 날, 괴로움, 속 쓰림, 간 건강, 숙취 운전, 늦잠",음료/라면,[AI 증강]
매운맛 극한 도전 세트,공통,핵불닭볶음면,"쿨피스, 삼각김밥, 단무지","매운맛 도전, 챌린지, 스트레스 해소, 땀, 눈물, 극한, 마비, 고통, 성취감",라면/분식,[AI 증강]
영화관 따라잡기 세트,GS25,팝콘,"콜라, 오징어, 핫도그","집에서 영화, 넷플릭스, 혼영, 주말, 팝콘, 탄산, 영화관 분위기, 방구석",간식/음료,[AI 증강]
다이어트 샐러드 세트,세븐일레븐,닭가슴살 샐러드,"아메리카노, 견과류, 삶은 계란","다이어트, 식단 관리, 건강, 운동, 체중 감량, 샐러드, 자기 관리, 건강한 삶",간편식/건강,[AI 증강]
추억의 분식 세트,CU,떡볶이,"튀김, 순대, 어묵","분식, 초등학교, 학창 시절, 추억, 친구, 수다, 맛있는 간식, 행복한 기억",분식,[AI 증강]
시험 망친 날 자포자기 세트,공통,아이스크림 (벤앤제리스),"초콜릿, 과자, 탄산 음료","시험 망침, 자포자기, 우울, 스트레스, 폭식, 단 거, 세상 무너짐, 슬픔, 좌절",간식,[AI 증강]
프로 혼술러 세트,공통,소주,"닭꼬치, 김, 라면","혼술, 퇴근 후, 하루 마무리, 위로, 고독, 생각, 진지, 나만의 시간",술안주/야식,[AI 증강]
피크닉 필수템 세트,GS25,유부초밥,"탄산수, 과일, 돗자리","피크닉, 봄, 햇살, 나들이, 공원, 데이트, 친구, 즐거움, 행복, 자연",간편식/음료,[AI 증강]
감기 기운 쫓아내기 세트,세븐일레븐,쌍화탕,"꿀물, 비타민, 죽","감기, 몸살, 컨디션, 따뜻함, 회복, 건강, 약, 휴식, 아픔",건강/음료,[AI 증강]
심야 영화 감상 세트,CU,나쵸,"맥주, 팝콘, 콜라","심야 영화, 혼자, 집, 밤, 편안함, 자유, 영화 감상, 힐링",간식/음료,[AI 증강]
출근길 에너지 충전 세트,공통,샌드위치,"커피, 바나나, 에너지바","출근, 아침, 피곤, 에너지, 활력, 바쁨, 직장인, 힘내, 응원",간편식/음료,[AI 증강]
눈 오는 날 낭만 세트,공통,군고구마,"핫초코, 호빵, 따뜻한 우유","눈, 겨울, 따뜻함, 낭만, 분위기, 설렘, 포근함, 행복, 커피 한 잔",간식/음료,[AI 증강]
스트레스 폭발 세트,GS25,불닭볶음면,"아이스크림, 탄산음료, 젤리","스트레스, 분노, 짜증, 해소, 매운맛, 단맛, 시원함, 폭식, 감정 쓰레기통",라면/간식,[AI 증강]
입맛 없을 때 밥도둑 세트,세븐일레븐,참치마요 삼각김밥,"김치, 라면, 계란후라이","입맛 없음, 밥도둑, 간편함, 혼밥, 자취생, 대충, 맛없없, 가성비",간편식/반찬,[AI 증강]
달콤한 휴식 세트,CU,마카롱,"아메리카노, 초콜릿, 과일","휴식, 달콤함, 행복, 여유, 힐링, 카페, 디저트, 충전, 에너지",간식/음료,[AI 증강]
과제 폭탄 야식 세트,공통,컵라면,"에너지 드링크, 삼각김밥, 초콜릿","과제, 시험 기간, 밤샘, 졸림, 배고픔, 스트레스, 카페인, 에너지, 대학생",라면/간편식,[AI 증강]
기분 전환 달달 세트,공통,초코 우유,"초콜릿 과자, 마시멜로우, 아이스크림","기분 전환, 우울, 달달함, 행복, 당 충전, 스트레스 해소, 위로, 소소한 즐거움",음료/간식,[AI 증강]
영화관 팝콘 단짠 세트,GS25,카라멜 팝콘,"치즈볼, 콜라, 오징어땅콩","영화, 팝콘, 단짠, 주말, 심야, 혼영, 넷플릭스, 즐거움, 간식",간식/음료,[AI 증강]
상큼함 리프레쉬 세트,세븐일레븐,탄산수,"자몽, 레몬, 비타민C","상큼, 리프레쉬, 기분 전환, 비타민, 건강, 에너지, 활력, 깨끗함, 맑음",음료/과일,[AI 증강]
퇴근 후 맥주 치킨 세트,CU,조각 치킨,"맥주, 감자튀김, 양념 소스","퇴근, 맥주, 치킨, 행복, 즐거움, 스트레스 해소, 하루 마무리, 시원함",술안주/야식,[AI 증강]
우울할 때 눈물 콧물 세트,공통,신라면,"아이스크림, 초코 과자, 매운맛 스낵","우울, 눈물, 스트레스, 매운맛, 단맛, 폭식, 위로, 슬픔, 감정 쓰레기통",라면/간식,[AI 증강]
늦잠 잔 날 후다닥 세트,공통,에그 토스트,"바나나 우유, 시리얼 바, 견과류","늦잠, 지각, 아침, 간단, 빠름, 에너지, 직장인, 학생, 바쁨, 허둥지둥",간편식/음료,[AI 증강]
더위 날리는 공포 영화 세트,GS25,수박바,"콜라, 젤리, 오징어","공포 영화, 더위, 오싹, 소름, 긴장, 시원함, 여름, 밤, 혼자",간식/음료,[AI 증강]
여행 떠나는 설렘 세트,세븐일레븐,소시지,"물, 초콜릿, 견과류","여행, 설렘, 기대, 즐거움, 간식, 든든함, 휴게소, 자유, 모험",간식/음료,[AI 증강]
따뜻한 위로 세트,CU,꿀 호떡,"따뜻한 우유, 커피, 초콜릿","위로, 따뜻함, 마음, 슬픔, 공감, 안정, 행복, 평안, 포근함",간식/음료,[AI 증강]
입 안 가득 행복 세트,공통,모찌 롤,"아메리카노, 우유, 과일","행복, 달콤함, 부드러움, 디저트, 여유, 힐링, 기분 전환, 즐거움",간식/음료,[AI 증강]
매운맛 쇼크 세트,공통,마라탕면,"쿨피스, 흰 우유, 아이스크림","매운맛, 쇼크, 얼얼, 스트레스 해소, 도전, 극한, 인내, 중독, 자극",라면/음료,[AI 증강]
과음 다음 날 SOS 세트,GS25,북엇국 라면,"이온 음료, 헛개차, 계란","과음, 숙취, 해장, 속 쓰림, 갈증, 괴로움, 회복, 건강, SOS",라면/음료,[AI 증강]
힐링 타임 간식 세트,세븐일레븐,고구마 말랭이,"따뜻한 차, 견과류, 요거트","힐링, 휴식, 여유, 간식, 건강, 자연, 따뜻함, 안정, 편안함",간식/음료,[AI 증강]
혼자 떠나는 여행 세트,CU,김밥,"물, 과자, 초콜릿","혼자 여행, 자유, 모험, 설렘, 기대, 간편, 든든, 휴식, 충전",간편식/음료,[AI 증강]
기말고사 응원 세트,공통,커피,"초콜릿, 에너지바, 견과류","기말고사, 시험, 밤샘, 공부, 졸림, 집중력, 에너지, 응원, 합격",음료/간식,[AI 증강]
늦은 밤 치팅데이 세트,공통,피자,"맥주, 콜라, 감자튀김","늦은 밤, 치팅데이, 행복, 즐거움, 칼로리 폭탄, 죄책감, 만족, 꿀맛",간편식/술안주,[AI 증강]
비오는 날 감성 촉촉 세트,GS25,컵라면,"삼각김밥, 막걸리, 김치전","비오는 날, 감성, 촉촉, 라면, 막걸리, 따뜻함, 낭만, 혼술, 집콕",라면/술안주,[AI 증강]
풋풋한 첫사랑 세트,공통,딸기 우유,"솜사탕, 요구르트 젤리, 캐릭터 빵","첫사랑, 설렘, 풋풋, 귀여움, 핑크, 달콤, 두근거림, 순수, 수줍음",음료/간식,[AI 증강]
미세먼지 청정 세트,세븐일레븐,생수,"배즙, 도라지차, 비타민C","미세먼지, 목 건강, 청정, 깔끔, 건강, 촉촉, 상쾌, 기관지, 보호",음료/건강,[AI 증강]
아찔한 매운맛 도전 세트,CU,불닭 만두,"쿨피스, 아이스크림, 단무지","매운맛, 도전, 아찔, 스트레스 해소, 화끈, 극한, 땀, 눈물, 오기",간편식/음료,[AI 증강]
상사 뒷담화 공감 세트,공통,에너지 드링크,"매운 스낵, 커피, 초콜릿","상사, 뒷담화, 공감, 스트레스, 분노, 짜증, 에너지, 위로, 공감",음료/간식,[AI 증강]
새벽 감성 폭발 세트,공통,캔 커피,"담배, 라이터, 이어폰","새벽, 감성, 고독, 생각, 밤, 센치함, 우울, 공허, 위로",기호품/음료,[AI 증강]
퇴근 후 힐링 홈파티 세트,GS25,와인,"치즈, 크래커, 올리브","퇴근, 힐링, 홈파티, 여유, 행복, 분위기, 와인, 치즈, 즐거움",술안주/간식,[AI 증강]
소소한 일탈 세트,세븐일레븐,젤리,"탄산 음료, 초콜릿, 아이스크림","일탈, 자유, 즐거움, 달콤, 행복, 소소, 기분 전환, 해방감, 에너지",간식/음료,[AI 증강]
잠 안오는 밤 ASMR 세트,CU,별사탕,"사탕, 젤리, 과자","잠 안옴, ASMR, 간질간질, 달콤, 밤, 조용, 상상력, 재미, 무료함",간식,[AI 증강]
이불 밖은 위험해 세트,공통,컵라면,"귤, 전기장판, 수면 양말","겨울, 집콕, 따뜻함, 이불, 편안, 힐링, 휴식, 행복, 뒹굴뒹굴",간편식/생활,[AI 증강]
여행 출발 전 설렘 가득 세트,공통,샌드위치,"커피, 선글라스, 셀카봉","여행, 설렘, 두근거림, 기대, 행복, 자유, 설레임, 추억, 시작",간편식/기타,[AI 증강]
시간 순삭 게임 세트,공통,에너지 드링크,"스낵, 젤리, 핸드폰 충전기","게임, 시간 순삭, 집중, 승리, 즐거움, 몰입, 스트레스 해소, 짜릿함, 열정",음료/간식,[AI 증강]
